user_id,user_session,total_events
274969076,705a85e5-d17d-4a33-8fbb-d8c3a6518b73,2
274969076,e5b8bbcc-0184-4510-8d80-6a6120fda838,4
275256741,48b5b9c0-3d1b-4380-94f8-dcadb9dd7b5c,2
295643776,775c16bc-4ba0-48dd-a13e-e387b6e482e6,2
295643776,792efec7-50ac-461d-af96-061d1e1d12cf,14
296465302,58ce0c43-94c0-4611-8f2f-8fa970626cf9,20
296465302,5f20fce9-bc84-4b35-a54e-096b2e5f4bc4,30
319315209,3a322713-41e0-4988-b724-8a49d194870d,3
321019934,8b5da1aa-0407-42c6-b1a5-c9e16b20be65,1
323962106,ba4e19e8-742a-4208-8c7c-8ea1ae8b36dd,2
333288876,0e066103-6733-44dd-b128-131636d740d4,1
339186405,06367ee1-01e6-4a3b-9bc1-2dd389238586,8
346207313,12ac42c4-8154-412c-98e5-05bdc1aa7591,2
346207313,132f529b-0bfb-43e0-a98e-369764bc48d4,1
346791730,145454eb-a222-4d91-8289-c8f1a5964d27,1
346791730,96e91bf1-8b39-4ded-ad26-0e560e779655,1
355987852,3a6bc18b-b0cd-41ca-8008-c1725131d166,5
355987852,d6271d4a-b37a-452f-b642-ee412283ac96,1
356520186,3e3403b6-2a19-4a1d-aef2-ee4dce0dc943,12
356520186,ad1e4257-71ec-4638-b31d-9fa4033ae155,1
365369538,98f4d4f2-435c-4093-9e8b-da63b7c27fc5,3
365956141,c16eb1a3-860b-40bc-89c1-abacc0dfe184,1
371874388,d193bf09-6ef7-4ff4-bfdd-0b7daa572e78,1
372804920,4c7be8cf-dd9a-490e-8322-fced01f3ee01,4
379481773,36f91c57-4e61-4046-8d18-2d44fc49b9e7,12
379845685,7e88cb7b-0f20-4107-9271-82cfbaad4db6,6
379845685,ba3f8a5f-8d15-493c-b4b7-f349c971d2ed,6
379845685,d90acc4b-34e9-4d5c-b047-3080aeff47d6,3
382652544,41140ab4-51ff-43d7-8aae-3534de5bc23a,1
384989212,27923ca4-99d6-4652-acad-c4fd270ef902,18
386908545,15d224c5-5115-4600-b71c-93f1619924fb,4
386908545,8561611f-4e13-4bce-8e74-15697b211c58,4
386908545,ad076841-44c2-4f5e-b748-a06ce5f70b4c,6
389710914,73f2e65b-fa4c-4f19-a657-93182f29189e,2
389979783,55e573a5-c8b1-4896-9df7-2c33e32223d1,10
394300322,b5eb0da9-e56b-45a9-9dd4-baf136625e8b,4
394300322,bb2a0549-0801-42b0-b34d-1801a2841bc0,22
394300322,e004b775-44a9-4f5e-851a-6d3bb59e738a,60
396477034,6a5a3298-78cd-40ca-b538-64abfbefac7f,8
397023870,85566778-28dd-439e-958f-a5c972133c3e,8
398074829,1c0a5614-9c6a-4614-868e-34c1629e236f,2
398843756,9ecaefb1-dec3-4dba-954b-b2dd00d6ae93,1
399312746,1c1de74f-71a0-49e2-af7a-be0cf7201bec,2
399312746,dd3ce882-800d-4638-b651-56b40a42edc3,2
399355315,17f37bfd-2031-4583-a774-4f22b481d3e6,2
400680280,4652bceb-dfe5-413d-bcb1-df0d42afd11d,2
402813437,324f71f6-0e29-4946-b710-24d603cba414,8
402813437,9645b226-eff8-44c7-a0c4-b5b744c0aa14,4
402813437,c0d145bf-1adc-4cbb-bf59-343800cb531e,12
402813437,fc3b7796-3a9b-4a8e-9c13-73b903e3ef7b,2
403092960,b06f4acb-dde4-4998-89d3-ad3eed711198,2
404502801,443e549e-2791-46a1-93e6-14a7e022a5ae,8
404502801,7691b638-4b0e-4eb6-b1dd-830cea62a502,2
404502801,ed7ea30b-50d9-4059-805c-8f8cefdeeb3e,2
404602614,478e9cef-f6ae-48c2-b2ce-9b37850beb2a,2
405111134,bd70becc-b764-44ae-871a-52903d9ef273,2
405174399,756457b7-b13c-47bf-9644-4d62d1eba2e4,1
406996724,163eb9bc-c3ff-444a-a8f0-e4643cc24c52,1
407968745,54b21d3e-66ea-427a-a03e-2f935c62a968,4
408858428,702c170b-53b5-4f9e-84e7-ee66b69864c8,6
